,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_z,ban_rate_z,interaction,tier_score_z
Yu Zhong,50.35,1.5,0.38,0.10136200154692282,1.2378461378872765,-0.3305188477198683,0.12547056214338256,0.29560679581331606
Carmilla,52.02,0.14,0.12,0.7703446447335045,-1.236951201530207,-0.35001790448270464,-0.952878733895469,0.291042047564239
Estes,49.44,0.77,44.65,-0.26317345072840126,-0.09053772812357871,2.9895705480138446,0.023827126331392032,0.2631316544678628
Hanzo,51.79,0.31,0.63,0.6782093106419379,-0.9276015341030216,-0.31176975467867946,-0.6291079969944143,0.25408133905648833
Faramis,51.71,0.32,1.43,0.6461622379144377,-0.909404494842599,-0.25177265694687534,-0.5876228435569425,0.24010488920737008
Melissa,51.3,0.77,0.48,0.48192099018599416,-0.09053772812357871,-0.3230192105033928,-0.04363203158650539,0.22679168682249398
Novaria,48.25,1.58,14.95,-0.739873657549976,1.383422451970658,0.762178294720615,-1.0235578294762868,0.2209697285660285
X.Borg,50.79,0.98,2.41,0.27762090154817676,0.2916000963452974,-0.1782762122254152,0.08095428163891666,0.1965402768536348
Gloo,51.75,0.11,0.11,0.6621857742781878,-1.2915423193114752,-0.3507678682043522,-0.8552409507263157,0.1928588946536542
Arlott,51.07,0.66,3.72,0.38978565609443033,-0.2907051599882281,-0.08003096468958587,-0.11331270151604783,0.17185299925937286
Joy,51.41,0.35,2.88,0.5259857151863077,-0.8548133770613311,-0.14302791730798028,-0.44961962548442713,0.17035782234714017
Baxia,51.56,0.25,0.36,0.5860739765503741,-1.0367837696655577,-0.33201877516316336,-0.6076319867107806,0.16417202458151664
Freya,51.29,0.46,0.17,0.47791510609505733,-0.6546459451966816,-0.3462680858744669,-0.3128651863533712,0.1337204017473682
Mathilda,47.95,0.71,69.96,-0.8600501802781032,-0.19971996368611483,4.887728727503798,0.1717691907733793,0.13284537188250312
Alice,51.54,0.12,0.04,0.5780622083684976,-1.2733452800510525,-0.356017614255885,-0.7360727846019145,0.12231291979033562
Irithel,49.74,1.3,0.32,-0.14299692800027122,0.873905352678823,-0.3350186300497536,-0.12496578079606528,0.10741854302129304
Xavier,50.62,0.89,0.1,0.2095208720022367,0.12782674300149335,-0.3515178319259998,0.026782370658878694,0.09958506003103963
Khufra,49.56,1.24,2.4,-0.2151028416371481,0.7647231171162868,-0.17902617594706277,-0.1644941155573309,0.06816397101618962
Edith,50.43,0.88,0.87,0.13340907427442303,0.10962970374107067,-0.2937706253591382,0.01462559728907549,0.060462157238235656
Thamuz,50.74,0.69,0.16,0.2575914810934899,-0.23611404220696022,-0.34701804959611443,-0.06082096583906167,0.05563786383274905
Cecilion,49.66,1.22,0.19,-0.17504400072777426,0.7283290385954415,-0.34476815843117176,-0.1274896287619596,0.05083856119991198
Julian,50.85,0.48,0.21,0.30165620609380334,-0.6182518666758363,-0.3432682309878767,-0.1864995125118447,0.012240424841510361
Yin,50.0,0.87,5.18,-0.038843941635894136,0.09143266448064798,0.029463738670956686,-0.003551605082700581,0.004681682955809133
